Durationinseconds,ResponseId,ProlificID,Age,Gender,HL,Ethnicity,Ethnicity_Other,Education,Income,DTI_1PFD,DTI_2DB,DTI_3PLT,DTI_4PFD,DTI_5DB,DTI_6PLT,DTI_7PFD,DTI_8DB,DTI_9PLT,DTI_10PFD,DTI_11DB,DTI_12PLT,DTI_13PFD,DTI_14DB,DTI_15PLT,DES_1CPN,DES_2NPS,DES_3NPS,DES_4NPS,DES_5CPN,DES_6CPN,DES_7PNS,DES_8CPN,DES_9CPN,DES_10PNS,DES_11PNS,DES_12CPN,DES_13PNS,DES_14NPS,DES_15NPS,DES_16CPN,DES_17PNS,DES_18PNS,DSS_1BC,DSS_2C,DSS_3BC,DSS_4CC,DSS_5BC,DSS_6C,DSS_7CC,DSS_8CC,DSS_9CC,DSS_10BC,DSS_11BC,DSS_12C,DSS_13CC,DSS_14CC,DSS_15C,DSS_16BC,DSS_17BC,DSS_18CC,DSS_19CC,DSS_20C,DSS_21CC,DSS_22C,DSS_23BC,DSS_24C,DSS_25C,DSS_26C,DSS_27C,DSS_28C,DSS_29CC,DSS_30CC,DSS_31C,DSS_32C,Situationdescrip,Situationrating_P,Situationrating_N,PROLIFIC_PID
597,R_2fKi57kWlZB2qvq,6111e01b6c1a3939740b40fd,20,Other,No,White/Caucasian, ,High school (or GED),"$45,000 - 54,999",2,1,4,1,1,1,2,2,4,2,1,2,4,2,2,7,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,3,7,2,3,7,6,6,6,7,6,3,7,5,6,5,6,6,6,4,6,5,5,6,6,6,1,7,2,3,6,5,2,5,I was exposed to Covid through a coworker and had to get a rapid test.,1,3,6111e01b6c1a3939740b40fd
775,R_wNMr7UvdgkWXDkR,61466a2baa867eebf3ac1122,32,Female,Yes,White/Caucasian, ,High school (or GED),"$25,000 - 34,999",5,1,5,5,1,5,5,3,5,5,4,5,5,1,4,5,7,7,7,5,6,6,5,6,7,7,6,6,7,5,7,5,5,3,1,2,2,2,3,3,2,3,3,2,3,3,2,5,2,2,3,4,3,2,2,2,3,5,3,5,1,2,3,3,4,"My 14 month old woke up with a runny/stuffy nose and a mild cough, I was worried I had exposed him to COVID since I've been going back to the gym.",0,8,61466a2baa867eebf3ac1122
223,R_3CI8i6odvg4IWmS,61002034ad5133a9d7d95322,30,Female,No,White/Caucasian, ,High school (or GED),"$85,000 +",4,2,5,5,2,4,4,3,5,5,3,5,4,2,5,6,6,6,6,2,6,6,7,6,6,6,6,6,6,2,7,6,2,5,6,4,4,6,6,6,4,4,6,2,6,6,6,6,5,2,6,6,2,2,6,7,4,4,3,6,2,5,7,6,7,My child is home on quarantine due to being in contact with a positive COVID kid.,5,7,61002034ad5133a9d7d95322
375,R_1lcnBGWLZsd5O2Z,60ff0125c29761ed59b96562,25,Male,No,White/Caucasian, ,Bachelor's degree,"$85,000 +",5,6,6,5,6,5,5,5,4,4,5,4,4,4,4,6,6,6,6,3,6,6,6,6,6,6,5,6,5,4,6,6,4,1,4,3,3,1,5,3,3,3,5,2,4,3,3,3,3,3,3,3,2,2,2,2,2,1,3,4,2,3,2,2,2,"My parents refuse to get vaccinated and i fear for their health. Neither of them are in good health already and if they were to contract COVID, i would fear for their life.",3,8,60ff0125c29761ed59b96562
545,R_TedHGf7mM09GcNz,5e7e11234a5c604a62e12fd7,28,Female,No,White/Caucasian, ,Master's degree,"$85,000 +",2,1,2,2,1,1,4,1,1,1,1,1,5,1,1,7,7,7,7,6,7,7,7,7,7,7,7,7,7,1,7,7,1,3,2,6,5,2,5,3,2,2,1,2,6,1,1,5,3,1,1,6,2,3,4,1,7,2,2,1,5,3,2,2,1,Being ready to stop wearing masks in most settings,9,3,5e7e11234a5c604a62e12fd7
369,R_rclZaw1xgq9782Z,61bb39ab40db417c1a138ec1,28,Female,No,White/Caucasian, ,Master's degree,"$85,000 +",5,2,3,3,1,4,5,3,4,3,2,4,4,1,5,6,6,6,6,6,7,6,6,6,6,6,6,6,4,7,6,6,7,5,6,3,7,4,6,3,3,1,2,4,5,3,2,5,3,2,3,6,5,2,5,1,5,6,3,4,3,3,5,4,7,"The mask mandate being lifted in my state, masks are now optional and we have an internal dilemma on what is right or wrong.",3,7,61bb39ab40db417c1a138ec1
162,R_yQQxWLESvAuK9LX,5e69be2cd02ab2027bff5108,23,Female,No,Black/African-American, ,Bachelor's degree,"$25,000 - 34,999",3,2,4,4,2,2,5,2,6,6,2,5,5,3,6,6,5,6,6,5,5,5,6,6,6,6,6,6,5,6,6,7,6,3,6,3,5,4,5,3,2,1,6,2,5,6,3,3,5,2,3,3,6,3,5,2,3,4,5,4,2,2,6,5,6,a friend of mine got covid,0,9,5e69be2cd02ab2027bff5108
984,R_efBdL4Yvkd5x8Sl,5be9d049e1b58b0001e13001,27,Male,No,White/Caucasian, ,Bachelor's degree,"$25,000 - 34,999",3,1,5,4,1,2,2,1,4,4,1,4,4,1,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,3,2,5,5,5,5,4,3,5,3,5,5,5,5,2,2,5,3,6,5,6,5,3,2,3,6,2,5,2,3,3,2,6,I have to wear a face mask at all times when traveling in my country.,7,3,5be9d049e1b58b0001e13001
407,R_247S3iGHmOlUipl,61f2ab58a09e72f23cbaf377,23,Female,No,White/Caucasian, ,Bachelor's degree,"$0 - 14,999",3,2,4,3,2,4,3,4,5,4,3,5,5,2,4,5,6,5,6,6,6,5,6,6,5,7,6,6,6,4,6,6,6,5,2,3,3,5,5,5,4,5,5,3,5,5,5,4,4,3,6,6,6,5,7,2,4,7,3,4,3,6,3,3,5,Having to stay home or change plans on nights that would usually be big nights like birthdays or new years.,3,6,61f2ab58a09e72f23cbaf377
564,R_3KwLKjkbD8csl8K,6155db00c1ddd261574dce05,53,Male,No,White/Caucasian, ,Bachelor's degree,"$85,000 +",4,2,3,4,1,5,5,2,3,4,2,3,4,2,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,2,2,3,3,3,4,3,3,5,6,6,4,5,2,5,2,3,4,5,5,3,5,2,3,5,2,5,2,2,2,4,5,"What to do with my children in school, and the constant threat that a positive COVID test could halt the normality of life, as much as things can be normal now. My family has all its vaccines and is boosted, but the rules still dictate for quarantine when it does seem, at this time, to be a reach. If you aren't smart enough to get a vaccine, why do I need to accommodate your stupidity?",2,8,6155db00c1ddd261574dce05
882,R_1lnQdRQSRatR2S4,5fd2defab54f2910f0e15a99,24,Male,No,White/Caucasian, ,Bachelor's degree,"$25,000 - 34,999",2,2,4,4,2,5,4,4,4,4,4,5,5,2,4,5,5,4,5,4,5,4,5,5,5,5,5,5,5,4,5,5,4,3,2,4,5,4,2,3,1,1,4,2,2,4,2,1,1,1,1,4,4,1,1,1,3,3,7,2,2,2,2,2,4,I need to wear a mask at work no matter the vaccination status.,3,9,5fd2defab54f2910f0e15a99
573,R_2t50x7N6OFuXCBE,61003dd46e7798e7469ec589,27,Female,No,White/Caucasian, ,High school (or GED),"$55,000 - 64,999",5,4,5,5,4,5,4,4,4,5,4,4,5,3,5,6,7,6,7,6,6,6,6,6,5,5,5,6,6,6,6,5,5,3,5,2,6,3,5,3,2,3,5,3,5,6,2,5,3,2,6,5,3,5,6,4,4,3,3,4,2,3,5,5,6,The cost of good rising making it difficult to afford certain amenities.,1,10,61003dd46e7798e7469ec589
393,R_5gKdWGMVUdetcid,5dcc938a547c1f92e47d9800, ,Female,No,White/Caucasian, ,"Advanced degree (e.g. PhD, MD, JD)","$85,000 +",4,2,4,4,2,3,4,2,4,3,2,4,5,1,4,6,7,7,7,5,6,6,7,6,6,7,5,6,6,6,6,7,5,1,5,3,4,3,5,3,3,2,3,2,6,2,2,3,3,3,3,3,5,3,5,3,3,4,4,3,5,3,3,3,5,"My daughter is going to get open heart surgery soon. She is too young to be vaccinated and if she gets covid before surgery the surgery will be delayed, and she will likely have to be hospitalized. My state recently lifted mask mandates, which means people aren’t wearing masks in grocery stores anymore. We now have to get our groceries delivered because I can’t risk transmission in the store.",0,10,5dcc938a547c1f92e47d9800
561,R_0SATKYuaAz5nIPL,61743e225681c2932a38ba85,40,Female,No,White/Caucasian, ,Bachelor's degree,"$75,000 - 84,999",4,1,3,3,1,2,5,1,1,1,1,1,1,1,4,6,7,7,7,4,6,5,6,6,6,6,7,7,5,4,6,6,4,6,5,3,2,5,4,4,4,3,6,5,3,5,2,2,2,1,4,6,4,4,4,4,3,6,2,4,3,6,5,5,5,My children's  schooling has become more difficult for them.,2,8,61743e225681c2932a38ba85
1078,R_1XNtlvORU9axPzP,610770fe1ef74933ffd39cd2,18,Female,Yes,American Indian or Alaskan Native, ,High school (or GED),"$35,000 - 44,999",6,1,4,5,1,4,4,1,5,4,2,4,5,1,3,7,7,7,7,6,7,7,7,7,7,6,7,7,7,5,7,6,5,5,4,2,6,6,5,5,5,6,6,7,6,6,3,4,6,3,5,5,6,6,3,6,5,5,6,5,3,4,3,6,6,Had to stay home from work because of roommates positive test; rent was late the next month,7,4,610770fe1ef74933ffd39cd2
753,R_eqy0Io4yZ1cbiDL,60ff2f1eeab3a0334dee26d8,25,Female,No,White/Caucasian, ,Bachelor's degree,"$15,000 - 24,999",4,2,5,4,2,2,3,2,4,4,2,4,6,2,4,6,7,7,7,6,6,7,7,7,7,7,7,7,7,6,7,7,5,3,4,5,6,2,4,2,2,2,2,2,6,6,2,4,2,2,2,6,6,5,6,2,4,3,1,3,4,3,2,3,6,I have been having to wear masks for my job and my job has to do with working with baby and kids and the children are not allowed to see my face so I can not show my emotions to the children to help teach them emotions which can feel sad,1,6,60ff2f1eeab3a0334dee26d8
453,R_3QOjfwcfho3HUkx,60fdba29b052ac0601a52873,20,Female,No,White/Caucasian, ,High school (or GED),"$25,000 - 34,999",4,2,5,2,2,4,4,2,4,4,3,2,5,1,4,5,7,6,6,5,7,5,6,7,5,5,6,5,6,5,6,5,5,5,2,2,5,5,3,5,2,3,3,3,3,3,2,3,6,2,2,3,3,3,3,5,3,5,6,3,2,3,2,3,3,I am having to wait to see a doctor because their COVID policy states that patients cannot schedule appointments if they have traveled out of state in the last 2 weeks.,1,9,60fdba29b052ac0601a52873
258,R_ZwbLIg8v4EBgJmp,60fce82dcee3e00efd24aa4c,29,Female,No,White/Caucasian, ,High school (or GED),"$0 - 14,999",4,2,4,4,2,3,4,4,5,3,3,4,5,2,4,6,5,6,6,5,6,6,5,5,5,5,5,6,5,3,6,5,3,6,5,3,3,5,4,5,4,5,5,3,6,5,5,3,3,4,5,5,3,4,3,5,3,6,5,5,3,3,5,2,4,Not working to stay home with my child,7,2,60fce82dcee3e00efd24aa4c
301,R_1LOIwXp6AhL0VNW,6107817517a57bfa323f931f,21,Other,No,Asian, ,High school (or GED),"$45,000 - 54,999",4,2,4,4,2,2,4,1,4,4,1,2,5,1,4,7,7,7,7,5,5,6,4,5,6,7,7,6,7,7,5,6,2,7,4,2,3,5,6,6,5,3,4,6,3,2,1,5,3,3,5,6,6,2,6,2,5,7,7,5,3,3,3,6,7,As a result of COVID many pre-med opportunities for college students are on hold or are really hard to obtain because we as undergraduates are not always allowed to go into the hospital to shadow or volunteer. It's made applying a lot more stressful and feels unfair because each region and state have their own rules regarding COVID.,0,10,6107817517a57bfa323f931f
293,R_1d4RHjfIl6KIM0c,56bfba439f7a1e000afdcba9,31,Female,No,White/Caucasian, ,Master's degree,"$65,000 - 74,999",4,1,5,5,1,5,6,4,5,5,4,5,5,2,3,5,6,6,6,6,6,6,6,6,6,6,5,6,6,4,6,6,5,5,3,5,3,5,6,2,3,3,5,4,3,3,3,5,3,2,3,3,5,2,3,5,3,3,5,2,2,4,3,5,3,I thought I had covid recently but I'm fully vaccinated,1,5,56bfba439f7a1e000afdcba9
